value,flagInfo,parameter,period,coordinates,summary,coverage
228.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-10-31T18:30:00Z', 'local': '2021-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-11-30T18:30:00Z', 'local': '2021-12-01T00:00:00+05:30'}}",,"{'min': 111.125, 'q02': 120.71916519165039, 'q25': 182.95833206176758, 'median': 214.5416717529297, 'q75': 262.8854064941406, 'q98': 398.73635131835937, 'max': 408.6666564941406, 'avg': 227.66151555379233, 'sd': 71.9029833285286}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-10-31T18:30:00Z', 'local': '2021-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-11-30T18:30:00Z', 'local': '2021-12-01T00:00:00+05:30'}}"
192.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-11-30T18:30:00Z', 'local': '2021-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-12-31T18:30:00Z', 'local': '2022-01-01T00:00:00+05:30'}}",,"{'min': 115.625, 'q02': 115.7999984741211, 'q25': 144.2916717529297, 'median': 164.2083282470703, 'q75': 214.875, 'q98': 357.8833312988281, 'max': 369.4583435058594, 'avg': 191.81878785164125, 'sd': 71.9285526593849}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-11-30T18:30:00Z', 'local': '2021-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-12-31T18:30:00Z', 'local': '2022-01-01T00:00:00+05:30'}}"
166.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-12-31T18:30:00Z', 'local': '2022-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-01-31T18:30:00Z', 'local': '2022-02-01T00:00:00+05:30'}}",,"{'min': 45.33333206176758, 'q02': 46.93333282470703, 'q25': 118.375, 'median': 159.5, 'q75': 221.54166412353516, 'q98': 276.2499938964844, 'max': 278.625, 'avg': 166.49507473361106, 'sd': 66.09090439835673}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-12-31T18:30:00Z', 'local': '2022-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-01-31T18:30:00Z', 'local': '2022-02-01T00:00:00+05:30'}}"
99.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-01-31T18:30:00Z', 'local': '2022-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-02-28T18:30:00Z', 'local': '2022-03-01T00:00:00+05:30'}}",,"{'min': 28.714284896850586, 'q02': 29.18621841430664, 'q25': 77.71874809265137, 'median': 99.1875, 'q75': 115.0625, 'q98': 199.42250000000004, 'max': 226.625, 'avg': 99.59840842655727, 'sd': 43.260749875919146}","{'expectedCount': 28, 'expectedInterval': '672:00:00', 'observedCount': 28, 'observedInterval': '672:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-01-31T18:30:00Z', 'local': '2022-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-02-28T18:30:00Z', 'local': '2022-03-01T00:00:00+05:30'}}"
85.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-02-28T18:30:00Z', 'local': '2022-03-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-03-31T18:30:00Z', 'local': '2022-04-01T00:00:00+05:30'}}",,"{'min': 50.91666793823242, 'q02': 53.46666793823242, 'q25': 71.67708206176758, 'median': 81.79166412353516, 'q75': 100.79166793823242, 'q98': 118.78333435058593, 'max': 119.20833587646484, 'avg': 85.38694307881016, 'sd': 18.741364397503343}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-02-28T18:30:00Z', 'local': '2022-03-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-03-31T18:30:00Z', 'local': '2022-04-01T00:00:00+05:30'}}"
97.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-03-31T18:30:00Z', 'local': '2022-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-04-30T18:30:00Z', 'local': '2022-05-01T00:00:00+05:30'}}",,"{'min': 60.45833206176758, 'q02': 61.01416687011719, 'q25': 84.96874809265137, 'median': 94.85416793823242, 'q75': 101.58333206176758, 'q98': 153.56454010009762, 'max': 162.23529052734375, 'avg': 96.97399291992187, 'sd': 22.115310196854182}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-03-31T18:30:00Z', 'local': '2022-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-04-30T18:30:00Z', 'local': '2022-05-01T00:00:00+05:30'}}"
74.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-04-30T18:30:00Z', 'local': '2022-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-05-31T18:30:00Z', 'local': '2022-06-01T00:00:00+05:30'}}",,"{'min': 62.0, 'q02': 62.00750022888184, 'q25': 64.47313690185547, 'median': 69.58333206176758, 'q75': 76.56249809265137, 'q98': 106.42750000000001, 'max': 110.5, 'avg': 74.235306930542, 'sd': 15.087713276458805}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-04-30T18:30:00Z', 'local': '2022-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-05-31T18:30:00Z', 'local': '2022-06-01T00:00:00+05:30'}}"
50.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-05-31T18:30:00Z', 'local': '2022-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-06-30T18:30:00Z', 'local': '2022-07-01T00:00:00+05:30'}}",,"{'min': 23.45833396911621, 'q02': 25.298333358764648, 'q25': 35.16666793823242, 'median': 49.599998474121094, 'q75': 64.33333587646484, 'q98': 82.39999999999999, 'max': 86.0, 'avg': 50.70559677124024, 'sd': 17.53468364584448}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-05-31T18:30:00Z', 'local': '2022-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-06-30T18:30:00Z', 'local': '2022-07-01T00:00:00+05:30'}}"
27.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-06-30T18:30:00Z', 'local': '2022-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-07-31T18:30:00Z', 'local': '2022-08-01T00:00:00+05:30'}}",,"{'min': 11.636363983154297, 'q02': 13.845454788208007, 'q25': 19.91666603088379, 'median': 24.0, 'q75': 33.4375, 'q98': 50.69999923706054, 'max': 54.625, 'avg': 27.445295303098618, 'sd': 10.43816297897032}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-06-30T18:30:00Z', 'local': '2022-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-07-31T18:30:00Z', 'local': '2022-08-01T00:00:00+05:30'}}"
26.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-07-31T18:30:00Z', 'local': '2022-08-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-08-31T18:30:00Z', 'local': '2022-09-01T00:00:00+05:30'}}",,"{'min': 9.208333015441895, 'q02': 11.587681007385253, 'q25': 17.5, 'median': 26.058822631835938, 'q75': 36.97916603088379, 'q98': 42.783332061767574, 'max': 45.33333206176758, 'avg': 26.585464416011686, 'sd': 10.449173251197323}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-07-31T18:30:00Z', 'local': '2022-08-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-08-31T18:30:00Z', 'local': '2022-09-01T00:00:00+05:30'}}"
