value,flagInfo,parameter,period,coordinates,summary,coverage
33.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-08-31T18:30:00Z', 'local': '2022-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-09-30T18:30:00Z', 'local': '2022-10-01T00:00:00+05:30'}}",,"{'min': 9.958333015441895, 'q02': 11.577499866485596, 'q25': 21.145833492279053, 'median': 31.930556297302246, 'q75': 43.031249046325684, 'q98': 67.65197204589843, 'max': 69.81818389892578, 'avg': 33.19793198903402, 'sd': 15.980993712611422}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-08-31T18:30:00Z', 'local': '2022-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-09-30T18:30:00Z', 'local': '2022-10-01T00:00:00+05:30'}}"
90.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-09-30T18:30:00Z', 'local': '2022-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-10-31T18:30:00Z', 'local': '2022-11-01T00:00:00+05:30'}}",,"{'min': 6.166666507720947, 'q02': 8.316666603088379, 'q25': 48.3125, 'median': 83.91666412353516, 'q75': 111.91666412353516, 'q98': 218.65978698730467, 'max': 221.0869598388672, 'avg': 90.15542441029703, 'sd': 61.487270741483854}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-09-30T18:30:00Z', 'local': '2022-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-10-31T18:30:00Z', 'local': '2022-11-01T00:00:00+05:30'}}"
172.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-10-31T18:30:00Z', 'local': '2022-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-11-30T18:30:00Z', 'local': '2022-12-01T00:00:00+05:30'}}",,"{'min': 82.95833587646484, 'q02': 86.05902069091798, 'q25': 123.64583396911621, 'median': 163.0615997314453, 'q75': 199.63541793823242, 'q98': 340.87305114746084, 'max': 376.7826232910156, 'avg': 172.2676694234212, 'sd': 64.63470202581232}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-10-31T18:30:00Z', 'local': '2022-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-11-30T18:30:00Z', 'local': '2022-12-01T00:00:00+05:30'}}"
182.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-11-30T18:30:00Z', 'local': '2022-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-12-31T18:30:00Z', 'local': '2023-01-01T00:00:00+05:30'}}",,"{'min': 70.45833587646484, 'q02': 76.80499969482422, 'q25': 144.625, 'median': 193.2916717529297, 'q75': 222.2083282470703, 'q98': 291.0999975585937, 'max': 300.8636474609375, 'avg': 182.0142375025256, 'sd': 57.86715664502875}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2022-11-30T18:30:00Z', 'local': '2022-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2022-12-31T18:30:00Z', 'local': '2023-01-01T00:00:00+05:30'}}"
193.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2022-12-31T18:30:00Z', 'local': '2023-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-01-31T18:30:00Z', 'local': '2023-02-01T00:00:00+05:30'}}",,"{'min': 68.22916666666667, 'q02': 68.55950757575758, 'q25': 114.90104166666666, 'median': 185.95833333333331, 'q75': 272.1041717529297, 'q98': 406.64756410256416, 'max': 469.0833333333333, 'avg': 193.28661277659506, 'sd': 100.63644891520426}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 28, 'observedInterval': '672:00:00', 'percentComplete': 90.0, 'percentCoverage': 90.0, 'datetimeFrom': {'utc': '2022-12-31T18:30:00Z', 'local': '2023-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-01-31T18:30:00Z', 'local': '2023-02-01T00:00:00+05:30'}}"
96.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-01-31T18:30:00Z', 'local': '2023-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-02-28T18:30:00Z', 'local': '2023-03-01T00:00:00+05:30'}}",,"{'min': 58.4, 'q02': 60.71966666666667, 'q25': 87.39583333333333, 'median': 91.0, 'q75': 101.92307692307692, 'q98': 140.35076923076923, 'max': 143.69230769230768, 'avg': 96.48224358974359, 'sd': 30.908202563732857}","{'expectedCount': 28, 'expectedInterval': '672:00:00', 'observedCount': 5, 'observedInterval': '120:00:00', 'percentComplete': 18.0, 'percentCoverage': 18.0, 'datetimeFrom': {'utc': '2023-01-31T18:30:00Z', 'local': '2023-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-02-16T18:30:00Z', 'local': '2023-02-17T00:00:00+05:30'}}"
54.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-02-28T18:30:00Z', 'local': '2023-03-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-03-31T18:30:00Z', 'local': '2023-04-01T00:00:00+05:30'}}",,"{'min': 5.085106382978723, 'q02': 11.40468085106383, 'q25': 41.08510638297872, 'median': 56.479166666666664, 'q75': 68.82857142857142, 'q98': 91.32545238095238, 'max': 94.60416666666667, 'avg': 54.615615126826256, 'sd': 22.80661339535919}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 13, 'observedInterval': '312:00:00', 'percentComplete': 42.0, 'percentCoverage': 42.0, 'datetimeFrom': {'utc': '2023-03-18T18:30:00Z', 'local': '2023-03-19T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-03-31T18:30:00Z', 'local': '2023-04-01T00:00:00+05:30'}}"
54.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-03-31T18:30:00Z', 'local': '2023-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-04-30T18:30:00Z', 'local': '2023-05-01T00:00:00+05:30'}}",,"{'min': -167.1, 'q02': -55.69857142857144, 'q25': 44.167885638297875, 'median': 60.79407051282051, 'q75': 74.98035714285714, 'q98': 105.33624999999996, 'max': 117.02083333333333, 'avg': 54.59474781129037, 'sd': 47.291136113139096}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-03-31T18:30:00Z', 'local': '2023-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-04-30T18:30:00Z', 'local': '2023-05-01T00:00:00+05:30'}}"
53.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-04-30T18:30:00Z', 'local': '2023-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-05-31T18:30:00Z', 'local': '2023-06-01T00:00:00+05:30'}}",,"{'min': -24.0, 'q02': -14.034782608695652, 'q25': 29.59951241134752, 'median': 52.875, 'q75': 77.54166666666666, 'q98': 126.35416666666666, 'max': 128.97916666666666, 'avg': 53.2478296927377, 'sd': 35.73908247090828}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-04-30T18:30:00Z', 'local': '2023-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-05-31T18:30:00Z', 'local': '2023-06-01T00:00:00+05:30'}}"
-390.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-05-31T18:30:00Z', 'local': '2023-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-06-30T18:30:00Z', 'local': '2023-07-01T00:00:00+05:30'}}",,"{'min': -999.0, 'q02': -950.9296, 'q25': -626.7471264367816, 'median': -341.1801587301587, 'q75': -72.46926910299004, 'q98': 35.441666666666656, 'max': 37.375, 'avg': -389.6581755383982, 'sd': 327.67203177226173}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-05-31T18:30:00Z', 'local': '2023-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-06-30T18:30:00Z', 'local': '2023-07-01T00:00:00+05:30'}}"
-115.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-06-30T18:30:00Z', 'local': '2023-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-07-31T18:30:00Z', 'local': '2023-08-01T00:00:00+05:30'}}",,"{'min': -841.9230769230769, 'q02': -800.7470085470086, 'q25': -129.3780487804878, 'median': 11.125, 'q75': 25.642857142857142, 'q98': 37.39583333333333, 'max': 38.864583333333336, 'avg': -114.5667856627469, 'sd': 247.06841596643847}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-06-30T18:30:00Z', 'local': '2023-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-07-31T18:30:00Z', 'local': '2023-08-01T00:00:00+05:30'}}"
-111.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-07-31T18:30:00Z', 'local': '2023-08-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-08-31T18:30:00Z', 'local': '2023-09-01T00:00:00+05:30'}}",,"{'min': -999.0, 'q02': -702.5228571428572, 'q25': -218.71354166666666, 'median': 18.770833333333332, 'q75': 28.380208333333336, 'q98': 32.631249999999994, 'max': 33.625, 'avg': -110.50929339477725, 'sd': 213.8380432296296}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-07-31T18:30:00Z', 'local': '2023-08-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-08-31T18:30:00Z', 'local': '2023-09-01T00:00:00+05:30'}}"
-207.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-08-31T18:30:00Z', 'local': '2023-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-09-30T18:30:00Z', 'local': '2023-10-01T00:00:00+05:30'}}",,"{'min': -244.53125, 'q02': -243.37729166666665, 'q25': -226.86979166666666, 'median': -216.65625, 'q75': -193.51822916666666, 'q98': -126.49611742424243, 'max': -126.21875, 'avg': -206.70873271724335, 'sd': 32.035623097207726}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-08-31T18:30:00Z', 'local': '2023-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-09-30T18:30:00Z', 'local': '2023-10-01T00:00:00+05:30'}}"
-14.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-09-30T18:30:00Z', 'local': '2023-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-10-31T18:30:00Z', 'local': '2023-11-01T00:00:00+05:30'}}",,"{'min': -211.20212765957447, 'q02': -207.2308510638298, 'q25': -153.56770833333334, 'median': 11.3125, 'q75': 76.08854166666666, 'q98': 162.83541666666662, 'max': 188.51041666666666, 'avg': -14.89899336536262, 'sd': 122.68172990675262}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-09-30T18:30:00Z', 'local': '2023-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-10-31T18:30:00Z', 'local': '2023-11-01T00:00:00+05:30'}}"
234.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-10-31T18:30:00Z', 'local': '2023-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-11-30T18:30:00Z', 'local': '2023-12-01T00:00:00+05:30'}}",,"{'min': 94.3695652173913, 'q02': 110.67260869565217, 'q25': 186.953125, 'median': 246.25, 'q75': 269.1195652173913, 'q98': 350.63739130434783, 'max': 358.1521739130435, 'avg': 233.75752570505293, 'sd': 68.28239644562214}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-10-31T18:30:00Z', 'local': '2023-11-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-11-30T18:30:00Z', 'local': '2023-12-01T00:00:00+05:30'}}"
207.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2023-11-30T18:30:00Z', 'local': '2023-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-12-31T18:30:00Z', 'local': '2024-01-01T00:00:00+05:30'}}",,"{'min': 129.11111111111111, 'q02': 132.13574879227053, 'q25': 163.68478260869563, 'median': 194.8695652173913, 'q75': 251.1304347826087, 'q98': 321.2739130434782, 'max': 343.4347826086956, 'avg': 207.18993185023012, 'sd': 58.58886358185482}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2023-11-30T18:30:00Z', 'local': '2023-12-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2023-12-31T18:30:00Z', 'local': '2024-01-01T00:00:00+05:30'}}"
